Exercise_Name,Instructions,muscle_gp,Equipment,Description,Rating,Images_URL
Triceps Pushdown - Rope Attachment,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Triceps,Cables,Average,8.9,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-16c-cable-rope-push-down-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-16c-cable-rope-push-down-m2-16x9.jpg']"
Side-to-side box skip,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Body Only,Average,8.9,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-69e-side-to-side-box-skip-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-69e-side-to-side-box-skip-m3-16x9.jpg']"
Smith machine shoulder press,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Shoulders,Machine,Average,8.9,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-alt-31t-smith-machine-shoulder-press-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-alt-31t-smith-machine-shoulder-press-m2-16x9.jpg']"
Seated triceps press,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Triceps,Dumbbell,Average,8.9,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-54e-seated-triceps-press-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-54e-seated-triceps-press-m2-16x9.jpg']"
Dumbbell Lying Supination,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Forearms,Dumbbell,Average,8.9,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/323/Male/l/323_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/323/Male/l/323_2.jpg']"
Pull-up,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Lats,Body Only,Average,8.9,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-92c-pull-up-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-92c-pull-up-m2-16x9.jpg']"
Wide-grip bench press,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Chest,Barbell,Average,8.9,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-84e-wide-grip-bench-press-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-84e-wide-grip-bench-press-m2-16x9.jpg']"
Close-grip EZ-bar curl,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Biceps,Barbell,Average,8.9,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-47s-close-grip-ez-bar-curl-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-47s-close-grip-ez-bar-curl-m2-16x9.jpg']"
T-Bar Row,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Middle Back,Other,Average,8.9,"['https://www.bodybuilding.com/images/2020/xdb/3381_1l.jpg', 'https://www.bodybuilding.com/images/2020/xdb/3381_2l.jpg']"
Bent Over Two-Arm Long Bar Row,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Middle Back,Barbell,Average,8.9,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/18/Male/l/18_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/18/Male/l/18_2.jpg']"
Muscle Up,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Lats,Body Only,Average,8.9,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/1501/Male/l/1501_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/1501/Male/l/1501_2.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/1501/Male/l/1501_3.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/1501/Male/l/1501_4.jpg']"
Machine shoulder press,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Shoulders,Machine,Average,8.9,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-69m-machine-shoulder-press-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-69m-machine-shoulder-press-m2-16x9.jpg']"
Incline EZ-bar skullcrusher,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Triceps,Barbell,Average,8.9,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-27n-incline-ez-bar-skullcrusher-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-27n-incline-ez-bar-skullcrusher-m2-16x9.jpg']"
